Industry,2013,2014,2015,2016,2017,2018,2019
"Agriculture, Forestry and Fishing",608,621,622,716,730,718,807
Mining,NA,NA,1045,NA,NA,NA,NA
Manufacturing,830,826,855,888,934,991,1008
"Electricity, Gas, Water and Waste Services",1234,1162,1394,1082,1250,1113,1369
Construction,724,770,829,1002,1075,1024,1009
Wholesale Trade,896,985,974,1020,1046,1014,1121
Retail Trade and Accommodation,501,535,539,545,589,611,643
"Transport, Postal and Warehousing",773,827,871,900,912,1013,1088
"Information, Media and Telecommunications",937,1046,1029,1166,1166,1064,1202
Financial and Insurance Services,1091,1001,1152,1240,1253,1342,1408
"Rental, Hiring and Real Estate Services",743,926,1027,930,1006,1028,1073
Professional and Administrative Services,858,910,914,1085,1084,1085,1124
Public Administration and Safety,1155,1200,1132,1287,1342,1325,1325
Education and Training,874,899,886,943,953,979,1000
Health,808,821,840,875,921,942,988
"Art, Recreation and Other Services",616,613,658,666,669,746,855